cfips,ba,county,state,latitude,longitude,wkt,geometry
48499,p63,wood,TX,32.7755,-95.3972,POINT (-95.3972 32.7755),POINT (56498.149456104904 -690466.7149919356)
48503,p63,young,TX,33.1668,-98.6883,POINT (-98.6883 33.1668),POINT (-250648.37571624992 -643562.5592763931)
48015,p64,austin,TX,29.8495,-96.275,POINT (-96.275 29.8495),POINT (-26752.41699862474 -1015032.8949105365)
48019,p64,bandera,TX,29.729,-99.2012,POINT (-99.2012 29.729),POINT (-311827.34255877504 -1022957.9936681835)
48021,p64,bastrop,TX,30.1035,-97.3242,POINT (-97.3242 30.1035),POINT (-128408.62324538948 -985984.5713783149)
48031,p64,blanco,TX,30.2172,-98.4077,POINT (-98.4077 30.2172),POINT (-233125.20039210352 -971235.4743323061)
48041,p64,brazos,TX,30.6529,-96.3806,POINT (-96.3806 30.6529),POINT (-36653.69980135671 -925934.5218686293)
48051,p64,burleson,TX,30.5133,-96.6354,POINT (-96.6354 30.5133),POINT (-61300.080544280056 -941273.7625691008)
48053,p64,burnet,TX,30.7338,-98.1859,POINT (-98.1859 30.7338),POINT (-210281.34178611854 -914522.1971574688)
48055,p64,caldwell,TX,29.8519,-97.6266,POINT (-97.6266 29.8519),POINT (-158227.31564952407 -1013396.2263787874)
48089,p64,colorado,TX,29.6055,-96.5236,POINT (-96.5236 29.6055),POINT (-51092.085831594086 -1041973.4681881939)
48091,p64,comal,TX,29.8168,-98.2891,POINT (-98.2891 29.8168),POINT (-222758.03346654793 -1015902.6964478084)
48123,p64,dewitt,TX,29.0996,-97.3051,POINT (-97.3051 29.0996),POINT (-128148.95840436204 -1097278.1977743874)
48137,p64,edwards,TX,29.9663,-100.3478,POINT (-100.3478 29.9663),POINT (-422190.30773863755 -992061.6084654593)
48149,p64,fayette,TX,29.8921,-96.9151,POINT (-96.9151 29.8921),POINT (-88974.61659144342 -1009904.5971730254)
48171,p64,gillespie,TX,30.3291,-98.9457,POINT (-98.9457 30.3291),POINT (-284800.0947483728 -957308.3287665109)
48177,p64,gonzales,TX,29.4484,-97.5027,POINT (-97.5027 29.4484),POINT (-146913.00125945083 -1058323.7084018204)
48185,p64,grimes,TX,30.5451,-95.9916,POINT (-95.9916 30.5451),POINT (810.5411578145281 -937961.9452351222)
48187,p64,guadalupe,TX,29.6123,-97.9639,POINT (-97.9639 29.6123),POINT (-191605.29633839094 -1039303.6546029783)
48209,p64,hays,TX,30.065,-98.0268,POINT (-98.0268 30.065),POINT (-196626.00808166404 -988999.9710220345)
48259,p64,kendall,TX,29.93,-98.6715,POINT (-98.6715 29.93),POINT (-259593.08912064033 -1002347.9002869325)
48265,p64,kerr,TX,30.0494,-99.3054,POINT (-99.3054 30.0494),POINT (-320686.2225863626 -987102.6313253345)
48267,p64,kimble,TX,30.4915,-99.7102,POINT (-99.7102 30.4915),POINT (-357945.8294540958 -936622.8905119898)
48285,p64,lavaca,TX,29.3566,-96.8972,POINT (-96.8972 29.3566),POINT (-87818.19744750968 -1069277.244198213)
48287,p64,lee,TX,30.2949,-96.8887,POINT (-96.8887 30.2949),POINT (-85972.66161865888 -965280.0819018108)
48299,p64,llano,TX,30.704,-98.6891,POINT (-98.6891 30.704),POINT (-258773.4143926368 -916530.8700228265)
48319,p64,mason,TX,30.7183,-99.2239,POINT (-99.2239 30.7183),POINT (-310161.8766791334 -913278.3449734327)
48327,p64,menard,TX,30.9164,-99.8004,POINT (-99.8004 30.9164),POINT (-364680.7627252806 -889199.2099978904)
48385,p64,real,TX,29.853,-99.8126,POINT (-99.8126 29.853),POINT (-370777.2750876474 -1006934.8694406237)
48453,p64,travis,TX,30.3252,-97.7773,POINT (-97.7773 30.3252),POINT (-171862.51070945623 -960665.4396668812)
48471,p64,walker,TX,30.795,-95.5934,POINT (-95.5934 30.795),POINT (39088.3587179821 -910170.0492170771)
48473,p64,waller,TX,29.9884,-95.9999,POINT (-95.9999 29.9884),POINT (10.16827772699076 -999676.0356302932)
48477,p64,washington,TX,30.2215,-96.4299,POINT (-96.4299 30.2215),POINT (-41627.06764647633 -973737.7703226677)
48491,p64,williamson,TX,30.6541,-97.6352,POINT (-97.6352 30.6541),POINT (-157469.64553757609 -924466.5291344465)
48007,p65,aransas,TX,28.2209,-96.8754,POINT (-96.8754 28.2209),POINT (-86892.35895907371 -1195164.5605000576)
48013,p65,atascosa,TX,28.9347,-98.5218,POINT (-98.5218 28.9347),POINT (-248100.11840969374 -1113041.9176065777)
48025,p65,bee,TX,28.4248,-97.7101,POINT (-97.7101 28.4248),POINT (-169314.3414615119 -1171397.127431475)
48029,p65,bexar,TX,29.4377,-98.4722,POINT (-98.4722 29.4377),POINT (-241710.68072937772 -1057444.0643297303)
48047,p65,brooks,TX,27.0383,-98.2019,POINT (-98.2019 27.0383),POINT (-221707.06958276904 -1323953.2978008075)
48057,p65,calhoun,TX,28.5138,-96.695,POINT (-96.695 28.5138),POINT (-68738.84072083328 -1162858.8993190436)
48061,p65,cameron,TX,26.1073,-97.5787,POINT (-97.5787 26.1073),POINT (-160749.95541358745 -1428390.2126955816)
48127,p65,dimmit,TX,28.4132,-99.7548,POINT (-99.7548 28.4132),POINT (-371727.06023197394 -1166617.639819075)
48131,p65,duval,TX,27.6613,-98.5174,POINT (-98.5174 27.6613),POINT (-251561.92792719946 -1254123.772300575)
48163,p65,frio,TX,28.8624,-99.1075,POINT (-99.1075 28.8624),POINT (-305975.5114948579 -1119272.5359346098)
48175,p65,goliad,TX,28.6571,-97.4682,POINT (-97.4682 28.6571),POINT (-144951.999822319 -1146072.366967167)
48215,p65,hidalgo,TX,26.3986,-98.1887,POINT (-98.1887 26.3986),POINT (-222078.75940888308 -1394843.147904428)
48239,p65,jackson,TX,28.9696,-96.562,POINT (-96.562 28.9696),POINT (-55273.38730408051 -1112433.3696436628)
48247,p65,jim hogg,TX,27.0717,-98.7105,POINT (-98.7105 27.0717),POINT (-272793.9994358881 -1318875.1205711411)
48249,p65,jim wells,TX,27.659,-98.0873,POINT (-98.0873 27.659),POINT (-208596.3956695478 -1255463.4913170892)
48255,p65,karnes,TX,28.9476,-97.9006,POINT (-97.9006 28.9476),POINT (-186965.5837605963 -1113094.1886107554)
48261,p65,kenedy,TX,26.9412,-97.7741,POINT (-97.7741 26.9412),POINT (-178847.49774225624 -1335649.013842547)
48273,p65,kleberg,TX,27.4227,-97.9022,POINT (-97.9022 27.4227),POINT (-190647.03154807937 -1282047.1616583876)
48283,p65,la salle,TX,28.301,-99.0981,POINT (-99.0981 28.301),POINT (-307163.2455272472 -1181487.5058683604)
48297,p65,live oak,TX,28.4249,-98.1422,POINT (-98.1422 28.4249),POINT (-212088.5976897741 -1170482.6196399326)
48311,p65,mcmullen,TX,28.3555,-98.5677,POINT (-98.5677 28.3555),POINT (-254421.5782873967 -1177083.2205066718)
48321,p65,matagorda,TX,28.8246,-95.9122,POINT (-95.9122 28.8246),POINT (8651.340289602842 -1128670.5579686507)
48323,p65,maverick,TX,28.6426,-100.2812,POINT (-100.2812 28.6426),POINT (-422612.1553768104 -1138925.998190913)
