location,value
48199,"{'ba': 'p66', 'county_name': 'hardin', 'state': 'TX'}"
48241,"{'ba': 'p66', 'county_name': 'jasper', 'state': 'TX'}"
48245,"{'ba': 'p66', 'county_name': 'jefferson', 'state': 'TX'}"
48291,"{'ba': 'p66', 'county_name': 'liberty', 'state': 'TX'}"
48339,"{'ba': 'p66', 'county_name': 'montgomery', 'state': 'TX'}"
48347,"{'ba': 'p66', 'county_name': 'nacogdoches', 'state': 'TX'}"
48351,"{'ba': 'p66', 'county_name': 'newton', 'state': 'TX'}"
48361,"{'ba': 'p66', 'county_name': 'orange', 'state': 'TX'}"
48373,"{'ba': 'p66', 'county_name': 'polk', 'state': 'TX'}"
48403,"{'ba': 'p66', 'county_name': 'sabine', 'state': 'TX'}"
48405,"{'ba': 'p66', 'county_name': 'san augustine', 'state': 'TX'}"
48407,"{'ba': 'p66', 'county_name': 'san jacinto', 'state': 'TX'}"
48419,"{'ba': 'p66', 'county_name': 'shelby', 'state': 'TX'}"
48455,"{'ba': 'p66', 'county_name': 'trinity', 'state': 'TX'}"
48457,"{'ba': 'p66', 'county_name': 'tyler', 'state': 'TX'}"
48039,"{'ba': 'p67', 'county_name': 'brazoria', 'state': 'TX'}"
48157,"{'ba': 'p67', 'county_name': 'fort bend', 'state': 'TX'}"
48167,"{'ba': 'p67', 'county_name': 'galveston', 'state': 'TX'}"
48201,"{'ba': 'p67', 'county_name': 'harris', 'state': 'TX'}"
